id;uuid;district;name;street;zip_city;begin;end;20151116;20151117;20151118;20151119;20151120;20151121;20151122;20151123;20151124;20151125;20151126;20151127;20151128;20151129;20151130;20151201;20151202;20151203;20151204;20151205;20151206;20151207;20151208;20151209;20151210;20151211;20151212;20151213;20151214;20151215;20151216;20151217;20151218;20151219;20151220;20151221;20151222;20151223;20151224;20151225;20151226;20151227;20151228;20151229;20151230;20151231;20160101;20160102;20160103;20160104;20160105;20160106;organizer;org_address;org_contact;phone;phone2;fax;hours;email;web;facebook;kind;lat;lng;fee;remarks;todo;transit
22;20;Charlottenburg-Wilmersdorf;Christmas Fair / A very British Christmas;Preußenallee 17-19;14052 Berlin;2015-12-05;2015-12-05;;;;;;;;;;;;;;;;;;;;14:30-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;St George's Church;Preußenallee 17-19, 14052 Berlin;;304 12 80;;304 12 80;14:30-18:00;office@stgeorges.de;www.stgeorges.de;;gemeinnützig;52.512430;13.25837;;<p>The Anglican Parish of Berlin invites for this year’s varied Christmas Market. On the ground of the spacious church garden English and German stands offer specialties: Gifts, handicrafts, toys and games, a tombola, a raffle with wonderful prizes, homemade cakes and traditional mince pies along with other British specialties.</p><p>Lots of Christmas music with various choirs, bagpipes and a Christmas carol sing-along guarantee a special atmosphere. There is a room for children, with activities and readers to entertain them with Christmas tales. English books are on sale at great low prices in the chapel. Lots of refreshments will be on sale to keep energy and spirits high.</p>;neuer text;
24;22;Charlottenburg-Wilmersdorf;Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhanmuseum;Schloßstr. 1/1 A;14059 Berlin;2015-12-13;2015-12-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;Kiezbündnis Klausenerplatz e.V.;;;30 82 44 95;;30 82 44 98;12:00-18:00;info@klausenerplatz.de;www.klausenerplatz.de;;gemeinnützig;52.518946;13.295796;;<p>Am Sonntag, den 13. Dezember 2015, findet - wie schon seit über zehn Jahren - vor dem Bröhanmuseum (Schloßstr. 1a) in Charlottenburg auch in diesem Jahr wieder zwischen 14.00 – 20.00 Uhr der kunsthandwerkliche Weihnachtsmarkt des Kiezbündnisses Klausenerplatz e.V. mit rund 40 Ständen statt.</p>;neuer text;
26;24;Friedrichshain-Kreuzberg;Traditioneller Weihnachtsbasar im Finnland-Zentrum;Schleiermacherstr. 24a;10961 Berlin;2015-11-21;2015-11-22;;;;;;12:00-18:00;12:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Suomi Keskus - Finnlandzentrum e. V.;Schleiermacherstr. 24a, 10961 Berlin;;781 81 89;;;12:00-18:00;info@finnlandzentrum.de;www.finnlandzentrum.de;;gemeinnützig;52.489650;13.39731;;<p>Flammlachs, Lachssuppe, weihnachtliche Leckereien, Café & Tombola, finnische Süßigkeiten und Lebensmittel, Handwerksarbeiten, Geschenkartikel, Glühwein etc. Der Weihnachtsmann besucht uns an beiden Tagen um 14:00 und 16:00 Uhr.</p><p>Herzlich willkommen, die weihnachtliche Stimmung im Finnland-Zentrum zu geniessen!</p>;neuer text;
28;26;Friedrichshain-Kreuzberg;Adventsbasar Heilig-Kreuz-Kirche;Zossener Str. 65;10961 Berlin;2015-11-28;2015-11-28;;;;;;;;;;;;;14:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Evangelische Kirchengemeinde Heilig Kreuz – Passion;Zossener Str. 65, 10961 Berlin;;81 49 25 82;691 20 07;;14:00-18:00;m.schmieder@heiligkreuzpassion.de;www.heiligkreuzpassion.de;;gemeinnützig;52.496520;13.39575;;"<p>Herzliche Einladung zu unserem traditionellen Adventsbasar am Samstag, 28. November von 15 bis 18 Uhr in die Heilig-Kreuz-Kirche. Mit Tombola. Am Vortag zum 1. Adent stimmen wir uns gemeinsam darauf ein. Man kann Selbstgemachtes kaufen oder die Dinge genießen, die wir in einer stimmungsvollen Atmosphäre anbieten.</p><p>Der Spendenerlös wird gedrittelt und geht an unsere besondere ""Volkshochschule"" GITSCHINER STR. 15. Ein Drittel geht an ein Flüchtlingsprojekt der Gemeinde, ein weiteres Drittel an ein Kinderhilfsprojekt einer Krisenregion, das dann noch vorgestellt wird.</p><p>Wir freuen uns schon auf Sie/Euch alle!</p>";neuer text;
30;30;Friedrichshain-Kreuzberg;10. KiezWeihnacht an der Samariterkirche;Samariterplatz/Samariterstr. 14;10247 Berlin;2015-12-05;2015-12-06;;;;;;;;;;;;;;;;;;;;13:00-20:00;13:00-20:00;;;;;;13:00-20:00;13:00-20:00;;;;;;;;;;;;;;;;;;;;;;;;;Samariter-Galiläa-Gemeinde und Die Friedrichshainer;Kinzigstr. 35;Steffen Belz;74 77 26 01;;;13:00-20:00;;www.kiezweihnacht.de;;gewerblich;52.517660;13.46609;;<p>Die 10. KiezWeihnacht – ein beschaulicher Weihnachtsmarkt in Berlin-Friedrichshain – findet am zweiten und dritten Adventswochenende statt. Stimmungsvoll präsentieren sich auch im Jahr 2015 wieder über 70 Händler an der Samariterkirche, die vorwiegend aus dem Kiez stammen. Das Angebot ist so vielfältig wie der Kiez selbst. Kunsthandwerk und Schmuckdesign werden ebenso wie Kinderspielzeug oder Adventsdekoration erhältlich sein. Für das leibliche Wohl ist gesorgt, es gibt kulturelle Angebote in der Samariterkirche. Die Veranstalter, Händler und Kunsthandwerker in Friedrichshain wollen mit der Organisation dieses Weihnachtsmarktes ein beschauliches und nachbarschaftliches Ambiente schaffen. Nachbarn und Besucher sind eingeladen, Geschäfte der Umgebung kennenzulernen und ins Gespräch zukommen. Es werden Geschenkideen aller Art angeboten in einem Umfeld jenseits der allgegenwärtigen Vorweihnachtshektik. Die Erfahrungen der vergangenen Jahre zeigen, dass dieses Angebot von den Anwohnern gerne angenommen wird.</p><p>Für das kulturelle Ambiente sorgt die traditionsreiche evangelische Kirchengemeinde Galiläa-Samariter. So werden nachmittags und am frühen Abend Konzerte, Lesungen und ein Kinderprogramm in der Samariterkirche stattfinden. Da die Konzerte und Vorstellungen erfahrungsgemäß gut besucht sind, empfehlen wir, rechtzeitig zu erscheinen.</p>;neuer text;
34;32;Lichtenberg;22. Lichtenberger Lichtermarkt rund ums Rathaus Lichtenberg;Möllendorffstr. 6;10367 Berlin;2015-11-29;2015-11-29;;;;;;;;;;;;;;13:00-19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BA Lichtenberg;;Frau Räpricht;902 96 82 05;;;13:00-19:00;jacqueline.raepricht@lichtenberg.berlin.de;;;gemeinnützig;52.515918;13.479572;;<p>Auch in diesem Jahr findet wieder der traditionelle Lichtermarkt „Rund ums Rathaus“ Lichtenberg statt – und zwar zum 22. Mal. Zur Einstimmung auf die Weihnachtszeit können Lichtenbergerinnen und Lichtenberger von 13 bis 18 Uhr auf dem Lichtermarkt vorbei schauen oder das Fest selbst mitgestalten.</p><p>Zahlreiche freie gemeinnützige Vereine, Schulen und Senioreneinrichtungen bieten an bunten Ständen vorwiegend selbst gefertigte Weihnachtsgeschenke, Handarbeiten und selbst gebackene Weihnachtsleckereien an. Außerdem gibt es heißen Glühwein und Leckereien vom Grill.</p><p>Der Lichtermarkt wird vom Sozialamt des Bezirkes organisiert. Er ist nicht kommerziell ausgerichtet. Der Kauf der angebotenen Produkte unterstützt die ehrenamtliche Arbeit und das Engagement vieler Lichtenberger Initiativen und Vereine.</p>;neuer text;
36;34;Lichtenberg;Mittelalterlicher Weihnachtsmarkt Karlshorst;Auf dem Johannes-Fest-Platz Karlshorst;10318 Berlin;2015-12-05;2015-12-06;;;;;;;;;;;;;;;;;;;;13:00-22:00;13:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iKARUS stadtteilzentrum;;;89 62 25 52;;89 62 35 47;Sa 13:00-22:00<br>So 13:00-18:00;ikarus@sozdia.de;www.firmaris.de;;gemeinnützig;52.4820698;13.5259398;;<p>Der Mittelalterliche Weihnachtsmarkt in Karlshorst lädt zum inzwischen 6. mal zu mittelalterlichem Handwerk, Gewürzduft, handgetriebenem Karussel für Kinder und vielem mehr. Dazu präsentieren zahlreiche Karlshorster Einrichtungen und Kunstschaffende ihre Arbeit.</p><p>Am Samstag, 5. Dezember von 13 bis 22 Uhr, und Sonntag, 6. Dezember von 13 bis 19 Uhr, auf dem Johannes-Fest-Platz in 10318 Karlshorst.</p><p>Wieder in diesem Jahr: ein Innen-Weihnachtsmarkt im Kulturhaus mit Ständen von Kleidung und Kindersachen, mit Klangholzschitzen, einer Nähstube, einer Backstube und natürlich vielen, weiteren Bastelangebote für Kinder. Öffnungszeit des Kulturhauses jeweils 13 bis 19 Uhr.</p>;neuer text;S Karlshorst
38;36;Marzahn-Hellersdorf;Weihnachtsmarkt im Marktplatz Center Hellersdorf;Stendaler Str. 24;12627 Berlin;2015-11-23;2015-12-24;;;;;;;;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;13:00-18:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;13:00-18:00;10:00-20:00;10:00-20:00;10:00-20:00;09:00-14:00;;;;;;;;;;;;;;MEC METRO-ECE Centermanagement GmbH & Co. KG;;;99 28 84 – 0;;992 88 42 50;Mo-Sa 10:00-20:00<br>06.12./20.12. 13:00-18:00<br>24.12. 09:00-14:00;;;;gewerblich;52.537490;13.60488;;<p>Und wer „erst eins, dann zwei, dann drei, dann vier“ nicht mehr abwarten kann, kommt ins Marktplatz Center Hellersdorf und stimmt sich gemeinsam mit uns auf die Weihnachtszeit ein. Das Parken an den Verkaufsoffenen Sonntagen ist kostenlos. Außerdem gibt es unseren beliebten Einpackservice, der jedes Geschenk in besonderem Glanz erstrahlen lässt. Damit sie ganz unbeschwert einkaufen können, haben wir wie jedes Jahr unseren kostenfreien Garderobenservice für Sie.</p>;text checked;U Hellersdorf
40;38;Marzahn-Hellersdorf;Weihnachtliche Aktionen im EASTGATE Berlin;Marzahner Promenade 1 A;12679 Berlin;2015-11-23;2015-12-24;;;;;;;;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;13:00-18:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-20:00;13:00-18:00;10:00-20:00;10:00-20:00;10:00-20:00;10:00-14:00;;;;;;;;;;;;;;ECE Projektmanagement GmbH & Co. KG;;;911 45 90;;911 45 91 11;Mo-Sa 10:00-20:00<br>06.12./20.12. 13:00-18:00<br>24.12. 10:00-14:00;info@eastgate-berlin.de;www.eastgate-berlin.de;;gewerblich;52.542820;13.54264;;"<p>Erleben Sie im Glanz der Lichter ein wunderbares Weihnachtsprogramm.</p><p>Es duftet im EASTGATE nach Weihnachten – nach gebrannten Mandeln, Tannengrün, Schokoladenäpfeln, Pfefferkuchen, ""Armeen"" von Nussknackern marschieren auf, Berge aus rotbäckigen Äpfeln, Orangen und Mandarinen locken mit ihren verführerischen Düften. Die Weihnachtsbäcker zaubern mit lieblichsten Aromen: Nelken, Anis oder Kardamom lassen Weihnachten schon ganz nah sein. Freuen Sie sich auf eine einzigartige Erlebniswelt, die Ihre Herzen weit aufschließt. Und auf der großen Weihnachtsbühne wechseln sich Sänger, Musiker und Geschichtenerzähler täglich ab, um die Besucher des EASTGATE mit einem begeisternden Weihnachtsprogramm zu erfreuen.</p>";text checked;S Berlin-Marzahn
42;40;Marzahn-Hellersdorf;Weihnachtsmarkt im Spree Center Berlin-Hellersdorf;Hellersdorfer Str. 77-83;12619 Berlin;2015-11-23;2015-12-24;;;;;;;;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-18:00;;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-18:00;13:00-18:00;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-18:00;;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-19:30;09:00-18:00;13:00-18:00;09:00-19:30;09:00-19:30;09:00-19:30;09:00-14:00;;;;;;;;;;;;;;Spree Center Berlin-Hellersdorf, 1.-3. Tranche GbR;;Wolfgang Kohlberg, Centermanager;56 88 08 – 0;;56 88 08 88;Mo-Fr 09:00-19:30<br>Sa 09:00-18:00<br>06.12./20.12. 13:00-18:00<br>24.12. 09:00-14:00;post@spree-center.de;www.spree-center.de;;gewerblich;52.520910;13.58713;;<p>Bis Heiligabend findet der Weihnachtsmarkt im Spree Center Berlin-Hellersdorf statt.</p>;neuer text;U Kaulsdorf Nord
44;42;Marzahn-Hellersdorf;2. Familien-Weihnachtsmarkt;Alice-Salomon-Platz;12627 Berlin;2015-11-27;2015-12-23;;;;;;;;;;;;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;;;;;;;;;;;;;;;Wollenschlaeger, Thilo-Harry;;;0163/400 05 00;03322/428 82 45;03322/423 41 39;11:00-21:00;info@wollenschlaeger-berlin.de;www.wollenschlaeger-berlin.de;;gewerblich;52.537131;13.604357;;<p>Der neue Weihnachtsmarkt in Marzahn-Hellersdorf bringt mit dem amerikanischen „Santa Claus“, mit Russlands „Väterchen Frost“ und mit „Knecht Ruprecht“, dem deutschen Gehilfen vom „Heiligen Nikolaus“, die Idee der weltumspannenden Feierlichkeiten in den Bezirk. Aus den drei internationalen Symbolfiguren und einer Weltkugel wurde eine Skulptur von sechs Metern Durchmesser geschaffen, die neues zentrales Symbol und vorweihnachtlicher Anziehungspunkt auf dem Alice-Salomon-Platz sein wird.</p><p>Weil Weihnachtsstimmung nicht nur besinnlich sein muss, gibt es auf dem neuen Weihnachtsmarkt in Marzahn-Hellersdorf neben festlichen Klängen auch rockige Christmas-Music auf der Show-Bühne. Täglich startet um 15.00 Uhr ein abwechslungsreiches Bühnenprogramm – mit der Weihnachts-Disko und DJ Monte sowie anderen Discjockey-Kollegen, der „Showco Rock’n Roll“-Live-Musik, Enricos Kindertheater, einer Glühweinparty mit Ilka und Jörg, Schmuckis Weihnachtsbläsern, Gedichten von und für Kinder sowie Peats-Weihnachtsmann-Band.</p><p>Für das leibliche Wohl sorgen zahlreiche Stände, an denen es Quarkbällchen und Waffeln gibt, gebrannte Mandeln und andere Süßigkeiten, die zu jedem Weihnachtsmarkt gehören. Wer es deftiger mag, lässt sich am Schwenk-Grill oder im Steakhouse saftiges Fleisch servieren oder genießt würzigen Glühwein und andere typische vorweihnachtliche Getränke.</p><p>Der neue Weihnachtsmarkt in Marzahn-Hellersdorf bietet auch beliebte Kirmes-Attraktionen, z.B. das „Dragon Kinderkarussell“ oder ein Kettenkarussell und einen Autoscooter für die Großen, viele Geschicklichkeitsspiele wie den „Big One“, „Greifer“ und „Pusher“, Entenangeln, Sportschießen oder Pfeilwerfen. So kann hier jeder „seine“ Attraktion finden, die zu einem ganz individuellen vorweihnachtlichen Vergnügen beiträgt.</p>;text checked;U Hellersdorf
46;2046;Marzahn-Hellersdorf;Adventsmarkt im Dorf Marzahn;Alt-Marzahn, Dorfanger, zwischen Kirche und Bezirksmuseum;12685 Berlin;2015-11-29;2015-11-29;;;;;;;;;;;;;;13:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Evangelischer Dorfkindergarten, Hinter der Mühle 5, 12685 Berlin, Leiterin: Frau Vogel, Tel.: 85 74 86 64 - 21 (Gemeindebüro), - 31 (Kindergarten);;Herr Pfarrer Ingolf Göbel;85 74 86 64 – 0;;85 74 86 64 28;13:00-18:00;;https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2015/pressemitteilung.396136.php;;gemeinnützig;52.54340;13.56056;;<p>Am Sonntag, den 29. November 2015 findet zum 18. Mal der Adventsmarkt im historischen, alten Dorfkern von Marzahn statt. Viele Höfe, Geschäfte, Einwohner und ansässige Vereine und Einrichtungen schließen sich dem Markt an, wie in jedem Jahr öffnen die Höfe im Dorf ab 13:00 Uhr ihre Pforten.</p><p>Mit dabei sind die Evangelische Kirchengemeinde mit allen Gebäuden, der Dorfkindergarten, der Tierhof, die Wuhletal gGmbH mit dem Hof 31, das Kulturgut und die Keramikscheune „Schamottchen“, die Freiwillige Feuerwehr, sowie die in rotes Licht getauchte Bockwindmühle zum Anschauen und Fotografieren.</p><p>Auch die Geschäfte „Textilien Brux“ und „Der kleine Buchladen“ öffnen an diesem Tag. Auf dem Gemeindehof finden die Besucher und Gäste ein besinnliches adventliches Treiben auf circa 24 Weihnachtsmarktständen vor. Auf der Bühne wird allen ein buntes Programm geboten, unter anderem durch den Posaunenchor der Gemeinde, eine Trommelgruppe und die „Rocky Liners“.</p><p>Selbstverständlich gibt es auch ein Programm der Kita-Kinder. Weihnachtsmann, Engel und Esel sind auf den Höfen unterwegs und erfreuen nicht nur die Kinder. Eine breite Palette an Speisen und Getränken, Schokoäpfeln, warmen Mandeln, heißen Waffeln, Grillwurst, Grünkohl, Glühwein, Kaffee, selbst gebackenem Kuchen, sowie Schmalzstullen in verschiedenen Geschmacksrichtungen werden angeboten. Eine Vielzahl von Geschenken, Sternen, Adventsgestecken, Selbstgestricktem und Weihnachtsbasteleien können käuflich erworben werden. Mit dabei ist das „Indische Forum“ mit Tee und Gebäck stellt sich und seine Angebote für Jung und Alt vor. Für die Kleinen veranstaltet der Evangelische Kindergarten im Bastelhaus ein weihnachtliches Basteln.</p><p>Das Kulturgut mit 24 Ständen, die Keramikscheune „Schamottchen“, die Holzwerkstatt und die Bücherstube sind geöffnet. Ein umfangreiches Angebot erwartet die Besucher auf dem Hof. Händler bieten Geschenke, weihnachtliche Accessoires und kleine Überraschungen unter der Weihnachtspyramide zum Kauf an. Für das leibliche Wohl der Besucher wird im geöffneten Weihnachtscafé frisch gebackener Kuchen und Kaffee oder Tee angeboten und alles lädt zum Verweilen ein. Wer es deftiger möchte, der kann sich bei einem Glas Glühwein aufwärmen.</p><p>Die „Marzahner Promenaden-Mischung“ gibt in der Kulturscheune ab 15:00 Uhr ein weihnachtliches Konzert für die ganze Familie. Unter dem Motto „Winterzeit – Schöne Zeit“ werden bekannte Weihnachtslieder vorgetragen und laden zum Mitsingen ein. Der Tierhof, Alt-Marzahn 63, öffnet seine Tore und das Hofcafé bietet ein breites Angebot von heißen und kalten Speisen und Getränken. Angeboten werden Kaffee, selbst gebackener Kuchen, Glühwein, die Kartoffel- und Kürbissuppen runden das Angebot ab. Die gemütliche Atmosphäre lädt zum Verweilen und weihnachtlichen Basteln für Klein und Groß ein. Auf der Freifläche zwischen Dorfkirche und Heimatmuseum findet traditionell für die kleinen Besucher ein Pony- und Eselreiten statt.</p><p>Vor dem Tor bietet die Freiwillige Feuerwehr Marzahn Deftiges aus der Gulaschkanone an. Eine Feuerschale, die von der Jugendfeuerwehr betreut wird, unterstreicht das weihnachtliche Flair.</p>;neuer text;S Berlin-Marzahn
48;2048;Marzahn-Hellersdorf;19. Kaulsdorfer Weihnachtsmarkt;Dorfstraße, Kirchengelände und Gelände der Firma Schilkin GmbH;12621 Berlin;2015-12-05;2015-12-05;;;;;;;;;;;;;;;;;;;;13:00-19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BA Marzahn-Hellersdorf und ansässige Kirchen, Interessengemeinschaft Kaulsdorf;;Gabriele Kokel und Gabriele Maria Donka (IG Kaulsdorf);0177/326 32 65;85 71 83 15;;13:00-19:00;kontakt@vitabelle-fitness.de;www.heimatverein-marzahn.de;;gemeinnützig;52.507946;13.581117;;<p>Am 5. Dezember 2015 findet unser Kaulsdorfer Weihnachtsmarkt am Dorfanger Alt-Kaulsdorf statt. Beginn ist um 13.00 Uhr, das Ende um 18:00 Uhr.</p>;neuer text;S+U Wuhletal
50;44;Marzahn-Hellersdorf;Interkultureller Weihnachtsmarkt;"Einkaufscenter ""Zu den Eichen"", Wittenberger Str. 80";12689 Berlin;2015-12-11;2015-12-11;;;;;;;;;;;;;;;;;;;;;;;;;;14:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;Vision e. V.;Wittenberger Str. 67, 12689 Berlin;Alexander Reiser;43 20 88 72;60 92 38 05;43 20 88 74;14:00-18:00;vision-ev@gmx.de;;;gemeinnützig;52.5653076;13.5704957;;<p>Der interkulturelle Weihnachtsmarkt für den Stadtteil Marzahn Nordwest mit vielen Vereinen und Projekten aus dem Quartier findet auch dieses Jahr in den Passagen des Einkaufscenters „Zu den Eichen“ statt.</p>;text checked;S Ahrensfelde
52;72;Marzahn-Hellersdorf;Feuriger Advent;Freizeitforum Marzahn, Marzahner Promenade 55;12679 Berlin;2015-12-11;2015-12-11;;;;;;;;;;;;;;;;;;;;;;;;;;15:00-19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;"Promenaden Management Marzahner Promenade (L.I.S.T. GmbH / conceptfabrik) in Zusammenarbeit mit dem Freizeitforum Marzahn, der Hauptbibliothek ""Mark Twain"" u. a.";;;;;;15:00-19:00;m-promenade@list-gmbh.de;www.marzahnerpromenade.de;;gemeinnützig;52.5470202;13.5540553;;<p>Feuriger Advent am Freitag, den 11. Dezember auf der Marzahner Promenade</p><p>Das Promenaden Management lädt Sie gemeinsam mit den ansässigen Gewerbetreiben und sozialen und kulturellen Einrichtungen herzlich zum feurigen Advent ein. Von 15.00 bis 18.30 geht es auf der Marzahner Promenade zwischen Victor-Klemperer-Platz und Marktplatz weihnachtlich zu. Die Türen sind für Sie geöffnet und es gibt ein abwechslungsreiches Bühnenprogramm. Wir freuen uns auf Ihren Besuch.</p><p>Bühnenprogramm (Höhe Eiscafé la Gondola MP 31)<br>15.00 - 15.30: Weihnachtliche Lieder<br>16.00 - 16.30: Berliner A-Cappella-Chor<br>16.30 - 17.00: Tanzshow Swentana<br>17.00 - 17.30: Auer&Kulenkampff: Adventliches aus Pop, Jazz und Gospel<br>17.30 - 18.00: FAIR Band<br>18.00 - 18.20: Feuershow Pyro-Team Loyal Assembly</p>;Bild erhalten;S Berlin-Marzahn
54;1004;Mitte;Weihnachtsmarkt u. Winterwelt am Potsdamer Platz;Potsdamer Platz, Marlene-Dietrich-Platz;10785 Berlin;2015-11-23;2015-12-27;;;;;;;;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;;;;;;;;;;;Bergmann Eventgastronomie;;Arnold Bergmann;033439/656 43;0177/828 53 87;25 93 91 93;10:00-22:00<br>Schmankerl-Hütte 10:00-03:00;info@bergmannevent.de;www.bergmannevent.de;;gewerblich;52.509008;13.376262;;<p>Auf dem traditionellen Weihnachtsmarkt mit aufwendigen Dekorationen und festlich glitzernden Linden in der Alten Potsdamer Straße gibt es alles, was das Herz begehrt: vom leckeren Apfel mit Schokoglasur über Baumschmuck aus dem Erzgebirge bis hin zum Zimtstern. Auf dem Handwerkermarkt kann jeder Töpfern, Holzschnitzern, Bäckern, Filzern, Korbmachern und Co. zuschauen, wie die schönen Weihnachtsgeschenke, die an den Ständen verkauft werden, entstehen.</p><p>Die Winterwelt am Potsdamer Platz bietet einen abwechslungsreichen Mix aus Erlebnisangeboten wie Rodeln, Schlittschuhlaufen oder Eisstockschießen und kulinarischen Genüssen - am geschichtsträchtigen Platz im Herzen Berlins.</p><p>Am Potsdamer Platz steht die frisch eingeschneite, größte mobile Rodelbahn Europas im Mittelpunkt des Geschehens. Die Eisbahn am Marlene-Dietrich-Platz lädt wieder alle ein, sich aufs glatte Eis zu wagen. Die fünf Meter breite und 30 Meter lange Eisstockbahn ist einer der Publikumsmagnete des Winterspektakels (eine Reservierung ist erforderlich).</p><p>Original österreichische Leckerbissen in alpenländischer Atmosphäre und Platz für rund 230 Gäste bietet die täglich von 10 bis 24 Uhr geöffnete Schmankerl-Hüttn, die aus 180 Jahre altem österreichischem Hüttenholz extra für die Winterwelt gebaut wurde. Bei Brettljause, Obazda, Saftgulasch, Kasnocken, Geselchtes, Frittatensuppe, Kaiserschmarrn, Germknödel, Sachertorte und Apfelstrudel lässt es sich feiern wie im Skiurlaub. Täglich ab 19 Uhr beginnt in der Schmankerl-Hüttn die Après-Ski-Party mit DJ - es darf getanzt und gesungen werden. Wer urige alpenländische Gemütlichkeit auf kleinem Raum (maximal 60 Personen) sucht, findet sie am Potsdamer Platz in der Salzburger Stiegl Alm.</p>;neuer text;
56;1006;Mitte;Weihnachtsmarkt Alex;mit Eisbahn, Eisstockbahn, Partyhaus vom Nikolaus, Wichtelhaus vor der Galeria Kaufhof;10178 Berlin;2015-11-23;2015-12-27;;;;;;;;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-22:00;10:00-14:00;10:00-22:00;10:00-22:00;10:00-22:00;;;;;;;;;;;Bergmann Eventgastronomie;;Arnold Bergmann;033439/656 43;0177/828 53 87;25 93 91 93;10:00-22:00<br>24.12. 10:00-14:00;info@bergmannevent.de;www.bergmannevent.de;;gewerblich;52.521918;13.413215;;<p>Seit 24 Jahren laden Galeria Kaufhof und die Firma Bergmann Eventgastronomie zur Advents‐ und Weihnachtszeit auf den Berliner Alexanderplatz ein. Unter dem Motto „Shoppen am ALEX – Feiern am Alex“ haben sich wieder ALEXA und MediaMarkt, SATURN und C&A dem gemeinsamen Weihnachtsmarkttreiben angeschlossen.</p><p>Auch in diesem Jahr erwartet die Berlinerinnen und Berlin und die Gäste der Hauptstadt nicht „nur“ ein Weihnachtsmarkt, sondern der gesamte Alexanderplatz als „der“ Weihnachtsplatz Berlins und lockt zum Bummel und Staunen, zum Schnuppern und Genießen zum Kosten und Kaufen.</p><p>Der Weihnachtsmarkt ist täglich von 10 – 22.00 Uhr (24.12. bis 16.00 Uhr) geöffnet, Eisbahn und Partyhaus bis Anfang 2016.</p>;neuer text;
