"id";"bezirk";"name";"strasse";"plz_ort";"veranstalter";"von";"bis";"oeffnungszeiten";"email";"w3";"bemerkungen";"lat";"lng"
"22";"Charlottenburg-Wilmersdorf";"Christmas Fair / A very British Christmas";"Preußenallee 17-19";"14052 Berlin";"St George's Church, Preußenallee 17-19, 14052 Berlin, Tel. und Fax: 304 12 80";"2015-12-05";"2015-12-05";"14:30-18:00";"mailto:office@stgeorges.de";"www.stgeorges.de";"";"52,51243";"13,25837"
"24";"Charlottenburg-Wilmersdorf";"Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhanmuseum";"Schloßstr. 1/1 A";"14059 Berlin";"Kiezbündnis Klausenerplatz e.V.
Tel.: 30 82 44 95, Fax: 30 82 44 98";"2015-12-13";"2015-12-13";"12:00-18:00";"mailto:info@klausenerplatz.de";"www.klausenerplatz.de";"";"52,518946";"13,295796"
"26";"Friedrichshain-Kreuzberg";"Traditioneller Weihnachtsbasar im Finnland-Zentrum";"Schleiermacherstr. 24a";"10961 Berlin";"Suomi Keskus - Finnlandzentrum e. V., Schleiermacherstr. 24a, 10961 Berlin, Tel.: 781 81 89";"2015-11-21";"2015-11-22";"12:00-18:00";"mailto:info@finnlandzentrum.de";"www.finnlandzentrum.de";"";"52,48965";"13,39731"
"28";"Friedrichshain-Kreuzberg";"Adventsbasar Heilig-Kreuz-Kirche";"Zossener Str. 65";"10961 Berlin";"Evangelische Kirchengemeinde Heilig Kreuz - Passion, Zossener Str. 65, 10961 Berlin, Tel.: 81 49 25 82 od. 691 20 07";"2015-11-28";"2015-11-28";"14:00-18:00";"mailto:m.schmieder@heiligkreuzpassion.de";"www.heiligkreuzpassion.de";"kuesterei@heiligkreuzpassion.de";"52,49652";"13,39575"
"30";"Friedrichshain-Kreuzberg";"10. KiezWeihnacht an der Samariterkirche";"Samariterplatz/Samariterstr. 14";"10247 Berlin";"Samariter-Galiläa-Gemeinde und Die Friedrichshainer 
Kontakt: Steffen Belz, Kinzigstr. 35,    
Tel.: 74 77 26 01";"2015-12-05";"2015-12-13";"13:00-20:00";"";"www.kiezweihnacht.de";"NUR an den Wochenenden";"52,51766";"13,46609"
"32";"Lichtenberg";"22. Lichtenberger Lichtermarkt rund ums Rathaus Lichtenberg";"Möllendorffstr. 6";"10367 Berlin";"BA Lichtenberg
Frau Räpricht
Tel.: 902 96 82 05";"2015-11-29";"2015-11-29";"13:00-19:00";"mailto:jacqueline.raepricht@lichtenberg.berlin.de";"";"";"52,515918";"13,479572"
"34";"Lichtenberg";"Mittelalterlicher Weihnachtsmarkt Karlshorst";"Auf dem Johannes-Fest-Platz Karlshorst";"10318 Berlin";"iKARUS stadtteilzentrum
Tel.: 89 62 25 52, Fax: 89 62 35 47";"2015-12-05";"2015-12-06";"Sa 13:00-22:00
So 13:00-18:00";"mailto:ikarus@sozdia.de";"www.ikarus-firmaris.de";"";"52,48207";"13,52594"
"36";"Marzahn-Hellersdorf";"Weihnachtsmarkt im Marktplatz Center Hellersdorf";"Stendaler Str. 24";"12627 Berlin";"MEC METRO-ECE Centermanagement GmbH & Co. KG
Tel.: 99 28 84 - 0, 
Fax: 992 88 42 50";"2015-11-23";"2015-12-24";"Mo-Sa 10:00-20:00
06.12./20.12. 13:00-18:00
24.12. 09:00-14:00";"";"";"";"52,53749";"13,60488"
"38";"Marzahn-Hellersdorf";"Weihnachtliche Aktionen im EASTGATE Berlin";"Marzahner Promenade 1 A";"12679 Berlin";"ECE Projektmanagement GmbH & Co. KG
Tel.: 911 45 90, Fax: 911 45 91 11";"2015-11-23";"2015-12-24";"Mo-Sa 10:00-20:00
06.12./20.12. 13:00-18:00
24.12. 10:00-14:00";"mailto:info@eastgate-berlin.de";"www.eastgate-berlin.de";"";"52,54282";"13,54264"
"40";"Marzahn-Hellersdorf";"Weihnachtsmarkt im Spree Center Berlin-Hellersdorf";"Hellersdorfer Str. 77-83";"12619 Berlin";"Spree Center Berlin-Hellersdorf
1.-3. Tranche GbR
Wolfgang Kohlberg, Centermanager
Tel.: 56 88 08 - 0, Fax: 56 88 08 88";"2015-11-23";"2015-12-24";"Mo-Fr 09:00-19:30
Sa 09:00-18:00
06.12./20.12. 13:00-18:00
24.12. 09:00-14:00";"mailto:post@spree-center.de";"www.spree-center.de";"";"52,52091";"13,58713"
"42";"Marzahn-Hellersdorf";"2. Familien-Weihnachtsmarkt";"Alice-Salomon-Platz";"12627 Berlin";"Wollenschlaeger, Thilo-Harry
Tel.: 0163/400 05 00 und 03322/428 82 45
Fax: 03322/423 41 39";"2015-11-27";"2015-12-23";"täglich 11:00-21:00";"mailto:info@wollenschlaeger-berlin.de";"www.wollenschlaeger-berlin.de";"";"52,537131";"13,604357"
"44";"Marzahn-Hellersdorf";"Adventsmarkt im Dorf Marzahn";"Alt-Marzahn, Dorfanger, zwischen Kirche und Bezirksmuseum";"12685 Berlin";"Evangelischer Dorfkindergarten, Hinter der Mühle 5, 12685 Berlin, Leiterin: Frau Vogel, Tel.: 85 74 86 64 - 21 (Gemeindebüro), - 31 (Kindergarten)
Herr Pfarrer Ingolf Göbel
Tel.: 85 74 86 64 - 0, Fax: 85 74 86 64 28";"2015-11-29";"2015-11-29";"13:00-18:00";"";"";"";"52,5434";"13,56056"
"46";"Marzahn-Hellersdorf";"19. Kaulsdorfer Weihnachtsmarkt";"Dorfstraße, Kirchengelände und Gelände der Firma Schilkin GmbH";"12621 Berlin";"BA Marzahn-Hellersdorf und ansässige Kirchen, 
Interessengemeinschaft Kaulsdorf,
Kontakt: Gabriele Kokel, Tel.: 0177/326 32 65 und Gabriele Maria Donka (IG Kaulsdorf), 
Tel.: 85 71 83 15                     ";"2015-12-05";"2015-12-05";"13:00-19:00";"mailto:kontakt@vitabelle-fitness.de";"www.heimatverein-marzahn.de";"";"52,507946";"13,581117"
"48";"Marzahn-Hellersdorf";"Interkultureller Weihnachtsmarkt";"Einkaufscenter ""Zu den Eichen"", Wittenberger Str. 80";"12689 Berlin";"Vision e. V., Alexander Reiser, Wittenberger Str. 67, 12689 Berlin, Tel.: 43 20 88 72 oder 60 92 38 05, Fax: 43 20 88 74";"2015-12-11";"2015-12-11";"14:00-18:00";"mailto:vision-ev@gmx.de";"";"";"52,565308";"13,570496"
"50";"Marzahn-Hellersdorf";"Feuriger Advent";"Freizeitforum Marzahn, Marzahner Promenade 55";"12679 Berlin";"Promenaden Management Marzahner Promenade (L.I.S.T. GmbH / conceptfabrik) in Zusammenarbeit mit dem Freizeitforum Marzahn, der Hauptbibliothek ""Mark Twain"" u. a.";"2015-12-11";"2015-12-11";"15:00-19:00";"mailto:m-promenade@list-gmbh.de";"www.marzahnerpromenade.de";"";"52,54702";"13,554055"
"52";"Mitte";"Weihnachtsmarkt u. Winterwelt am Potsdamer Platz";"Potsdamer Platz, Marlene-Dietrich-Platz";"10785 Berlin";"Bergmann Eventgastronomie, Arnold Bergmann,
Tel.: 033439/656 43
Reservierung: 0177/828 53 87, Fax: 25 93 91 93
reservierung@bergmannevent.de, www.bergmann-entertainment.de
www.winterwelt-berlin.de";"2015-11-23";"2015-12-27";"Mo-So 10:00-22:00
Schmankerl-Hütte 10:00-03:00
Winterwelt: 31.10.-03.01.2016,
am 15.11. und 22.11. geschlossen";"mailto:info@bergmannevent.de";"www.bergmannevent.de";"mit Rodelbahn, Eisstockbahn, Eisbahn, Schmankerl-Hütte, Stiegl Alm";"52,509008";"13,376262"
"54";"Mitte";"Weihnachtsmarkt Alex";"mit Eisbahn, Eisstockbahn, Partyhaus vom Nikolaus, Wichtelhaus vor der Galeria Kaufhof";"10178 Berlin";"Bergmann Eventgastronomie, Arnold Bergmann,
Tel.: 033439/656 43
Reservierung: 0177/828 53 87, Fax: 25 93 91 93
reservierung@bergmannevent.de
www.bergmann-entertainment.de";"2015-11-23";"2015-12-27";"Mo-So 10:00-22:00
24.12. 10:00-14:00";"mailto:info@bergmannevent.de";"www.bergmannevent.de";"Eisbahn und Partyhaus: 23.11.2015 - 03.01.2016,
";"52,521918";"13,413215"
"56";"Mitte";"8. Berliner Weihnachtszeit vor dem Roten Rathaus mit der Eiswelt am Neptunbrunnen";"Rathausstr. 15";"10178 Berlin";"Laubinger Veranstaltungsagentur
Tel.: 0163/481 48 40
www.laubinger.de";"2015-11-23";"2015-11-29";"Mo-Fr 12:00-22:00
Sa-So 11:00-22:00
25./26.12. 11:00-21:00";"mailto:info@laubinger.de";"www.berlinerweihnachtszeit.de";" geschlossen am 24.12., 
www.laubinger.de";"52,519494";"13,407032"
"58";"Mitte";"Wintertraum am ALEXA";"Dircksenstraße zwischen Voltairestraße und Schicklerstraße";"10179 Berlin";"Charles Blume Vergnügungsbetriebe GmbH, 27798 Hude
Tel.: 04408/80 63 73,
Fax: 04408/80 63 74";"2015-11-23";"2015-12-23";"Mo-Fr 14:00-22:00
Sa-So 12:00-22:00";"mailto:blume-service@t-online.de";"www.blume-service.de";"";"52,517248";"13,417182"
"60";"Mitte";"WeihnachtsZauber Gendarmenmarkt";"Gendarmenmarkt";"10117 Berlin";"WeihnachtsZauber Gendarmenmarkt GmbH Helmut Russ und Gunda Kniep
Tel.: 20 91 26 32, 0172/456 22 55, 
Fax: 20 91 26 33";"2015-11-23";"2015-12-31";"täglich 11:00-22:00
Fr, Sa 11:00-23:00
24.12. 11:00-18:00
25./26.12. 11:00-22:00
31.12. 11:00-01:00";"mailto:office@weihnachtsmarkt-berlin.de";"www.weihnachtsmarkt-berlin.de";"Eintritt 1 €,  Mo-Fr  11:00-14:00 Eintritt frei
(außer am 24.12., 25.12., 26.12., 31.12.),
Silvesterfeier 19:00-01:00
Eintritt 12 €
";"52,513828";"13,39235"
"62";"Mitte";"Fabelhafte Weihnachten im Sony Center am Potsdamer Platz";"Bellevuestr. 5";"10785 Berlin";"Forum Event Management GmbH
Tel.: 25 75 16 01, Fax: 25 75 16 40";"2015-11-28";"2016-01-03";"
Do, Fr, Sa 14:00-22:00, 24.12. geschlossen";"mailto:event.berlin@forum-event.de";"www.sonycenter.de";"
Wunderschöne Lichtkunst, fabelhafte Wesen und tägliche Live-Shows mit einer zauberhaften Fee verwandeln das Sony Center in einen magischen Ort";"52,51039";"13,37365"
"64";"Mitte";"Adventsbasar";"vor und in der Heilandskirche Moabit, Thusnelda-Allee 1";"10555 Berlin";"Evangelische Kirchengemeinde Moabit West, Thusnelda-Allee 1, 10555 Berlin-Moabit, Tel.: 30 30 69 88 - 0, Fax: 30 30 69 88 - 2";"2015-11-28";"2015-11-28";"10:00-15:00";"mailto:thusnelda1@kgmoabit-west.de";"www.kgmoabit-west.de";"
Eintritt frei";"52,525892";"13,339548"
"66";"Mitte";"20. Berliner Umwelt- und Weihnachtsmarkt 2015";"Sophienstraße in Mitte";"10178 Berlin";"EVENTS - Ralf Bielefeldt, Zehdenicker Str. 14, 10119 Berlin,
Tel.: 48 49 62 27 und 0177/688 22 45,
Fax: 32 51 98 53";"2015-11-28";"2015-12-20";"Sa 12:00-20:00
So 11:00-19:00";"mailto:post@weihnachtsmarkt-sophienstrasse.de";"www.weihnachtsmarkt-sophienstrasse.de";"jeweils an den Adventswochenenden";"52,525647";"13,400861"
"68";"Mitte";"Nostalgischer Weihnachtsmarkt Opernpalais Berlin auf dem Schloßplatz";"Schloßplatz";"10178 Berlin";"Nostalgischer Weihnachtsmarkt Joseph Nieke, Tel.: 20 25 35 80 und 0151/15 10 92 20";"2015-11-25";"2015-12-27";"Mo-Do 12:00-21:30
Fr 12:00-22:00
Sa 11:00-22:00
So 11:00-21.30
25.12./26.12.: 11:30-21:00";"mailto:info@berliner-weihnacht.de";"www.berliner-weihnacht.de";"24.12. geschlossen
www.joseph-nieke.de";"52,516144";"13,401391"
"156";"Mitte";"Feuriger Winterzauber";"Nikolaiviertel";"10178 Berlin";"Nikolaiviertel e. V. in Kooperation mit Zander & Partner Event-Marketing GmbH, Tel.: 31 86 01 13/4/5, Fax: 31 50 97 48";"2015-11-14";"2016-01-04";"Mo-Do 12:00-21:00
Fr 12:00-22:30
Sa. 11:00-22:30
So 11:00-21:00";"info@zander-partner.de";"www.blog.zander-partner.de";"";"52,516975";"13,408712"
"70";"Neukölln";"Nordische Märchenweihnacht - Weihnachtsmarkt auf dem Gutshof des Schlosses Britz";"Alt-Britz 73";"12359 Berlin";"Kulturstiftung Schloss Britz
Tel.: 60 97 92 30, Fax: 609 79 23 39";"2015-12-11";"2015-12-20";"Fr 14:00-21:00
Sa 11:00-21:00
So 11:00-21:00";"mailto:info@schlossbritz.de";"www.schlossbritz.de";"jeweils Freitag bis Sonntag";"52,44696";"13,43781"
"72";"Neukölln";"28. Alt-Buckower Adventsmarkt";"Nebenstraße Alt-Buckow 2-38";"12349 Berlin";"AG ""Das Sympathische Buckow e. V."" und die
Evangelische Kirchengemeinde Alt-Buckow,
Ansprechpartner für die Organisation: Christian Rieth
Tel.: 0179/394 55 14, Fax: 34 35 98 73";"2015-11-28";"2015-11-29";"Sa 13:00-20:00
So 11:00-19:00";"mailto:post@advents-markt.de";"www.advents-markt.de";"Eintritt frei";"52,422879";"13,433156"
"74";"Neukölln";"Adventsmarkt der Evangelischen Kirchengemeinde Alt-Buckow";"an der Dorfkirche Alt-Buckow";"12349 Berlin";"Evangelische Kirchengemeinde Alt-Buckow, Tel.: 604 10 10, Fax: 605 19 06";"2015-11-28";"2015-11-29";"Sa 14:00-20:00
So 13:00-19:00";"mailto:buero@dorfkirche.de";"www.dorfkirche.de";"";"52,421877";"13,430844"
"76";"Neukölln";"Adventsmarkt an der Britzer Dorfkirche ";"Backbergstr. 38 ";"12359 Berlin";"Evangelische Dorfkirchengemeinde Berlin-Britz 
Tel.: 606 29 12, Fax: 63 41 39 00";"2015-11-29";"2015-11-29";"12:30-18:00";"mailto:dorfkirchebritz@t-online.de";"www.dorfkirchebritz.de";"11:00 Festlicher Gottesdienst zum 1. Advent
18:00 Abschluss-Andacht";"52,44827";"13,43695"
"78";"Neukölln";"43. Alt-Rixdorfer Weihnachtsmarkt";"Richardplatz";"12055 Berlin";"BA Neukölln
Christian Bärmann
Tel.: 902 39 25 53,
Fax.: 902 39 34 70";"2015-12-04";"2015-12-06";"Fr 17:00-21:00
Sa 14:00-21:00
So 14:00-20:00";"";"www.berlin.de/ba-neukoelln/org/arw/arw.index.html";"";"52,474158";"13,44528"
"80";"Pankow";"Lucia Weihnachtsmarkt in der Kulturbrauerei";"Kulturbrauerei in Prenzlauer Berg, Schönhauser Allee   36-39";"10435 Berlin";"Ketering GmbH (Veranstalter, Vermietung)
Tel.: 44 31 07 37,
Fax: 25 74 85 50
Presse-Marketing-Programm:
FÃªte Company
Tel.: 449 25 94";"2015-11-23";"2015-12-22";"Mo-Fr 15:00-22:00
Sa-So 13:00-22:00";"mailto:jul@lucia-weihnachtsmarkt.de";"www.lucia-weihnachtsmarkt.de";"Eintritt frei";"52,540507";"13,41442"
"82";"Pankow";"Adventsökomarkt und Ökomarkt der GRÜNEN LIGA am Kollwitzplatz";"Wörther Straße / Kollwitz- bis Knaackstraße";"10405 Berlin";"GRÜNE LIGA BERLIN
e. V., E. Westphal,
Prenzlauer Allee 8, 10405 Berlin
Tel.: 44 33 91 48, Fax: 44 33 91 33";"2015-11-29";"2015-12-20";"12:00-19:00";"mailto:oekomarkt.kollwitzplatz@grueneliga.de";"www.grueneliga-berlin.de";"NUR an den Adventssonntagen";"52,536404";"13,417079"
"84";"Pankow";"Nikolausmarkt auf dem Kinderbauernhof Pinkepanke";"Am Bürgerpark 15-18, S-Bhf. Wollankstraße ";"13156 Berlin";"Frau Rose
Tel.: 0177/464 16 75";"2015-12-06";"2015-12-06";"14:00-18:00";"";"";"keine Standvermietung!";"52,569076";"13,388773"
"160";"Pankow";"Emil's Weihnachtsgarten im Industriedenkmal";"Willner-Brauerei-Berlin, Berliner Str. 80 - 82";"13189 Berlin";"Willner-Brauerei-Berlin, Tel.: 0177/689 22 45, Fax: 32 51 98 53";"2015-11-28";"2015-12-20";"Sa 12:30-20:30
So 11:30-19:30";"post@emils-weihnachtsgarten.de";"www.emils-weihnachtsgarten.de";"An allen Adventswochenenden";"52,555961";"13,414687"
"86";"Reinickendorf";"Weihnachtsmarkt im EKZ ""Der Clou"" - Weihnachtsaktion im Einkaufszentrum ""Der Clou""";"am Kurt-Schumacher-Platz";"13405 Berlin";"Center-Management des Einkaufszentrums ""Der Clou""
Tel.: 49 87 20 96, Fax: 495 27 63";"2015-11-16";"2015-12-24";"Mo-Sa 10:00-20:00
06./20.12. 13:00-18:00
24.12. 10:00-14:00                    ";"mailto:info@derclouberlin.de";"www.derclouberlin.de";"""Himmelsbäckerei"" für Kinder  
30.11. - 18.12.
jeweils 10:00, 11:00, 16:00 und 17:00
nach vorheriger Anmeldung
im Büro des Center-
Managements";"52,563043";"13,327618"
"88";"Reinickendorf";"Weihnachtsfachmarkt in den Hallen Am Borsigturm";"Am Borsigturm 2, Einkaufscenter";"13507 Berlin ";"Center Manager: Herr Wilhelm, Werbegemeinschaft Hallen am Borsigturm
Tel.: 72 62 66 00";"2015-11-23";"2015-12-24";"Mo-Sa 10:00-20:00
06./20.12. 13:00-18:00
24.12. 10:00-14:00";"mailto:info@hallenamborsigturm.de";"www.hallenamborsigturm.de";"";"52,584894";"13,285817"
"90";"Reinickendorf";"XIII. Kunsthandwerklicher Weihnachtsmarkt Frohnau";"Zeltinger Platz / Ludolfingerplatz";"13465 Berlin";"Interessengemeinschaft Frohnauer Geschäfte - IFG
Kontakt/Organisation: KUNSTHAND-BERLIN
Cornelja Hasler
Tel.: 40 63 70 31, 0173/216 66 88,
Fax: 401 74 40";"2015-12-05";"2015-12-06";"11:00-18:00";"mailto:info@kunsthand-berlin.de";"www.kunsthand-berlin.de";"";"52,63313";"13,289572"
"92";"Reinickendorf";"Adventsmarkt der Evangelischen Kirchengemeinde Alt-Wittenau";"Dorfaue";"13437 Berlin";"Evangelische Kirchengemeinde Alt-Wittenau, Gemeindebüro: Alt-Wittenau 29
Tel.: 43 72 12 62, Fax: 43 72 12 66";"2015-11-28";"2015-11-28";"14:00-17:30";"mailto:info@dorfkirchewittenau.de";"www.dorfkirchewittenau.de";"";"52,592455";"13,329694"
"94";"Reinickendorf";"Weihnachtsmarkt vor der Johanneskirche Frohnau";"Zeltinger Platz 18";"13465 Berlin";"Johanneskirche Frohnau
Tel.: 401 20 33, Fax: 401 20 79";"2015-11-29";"2015-11-29";"14:00-18:00";"mailto:post@ekg-frohnau.de";"www.ekg-frohnau.de";"Eintritt frei";"52,63414";"13,29209"
"96";"Spandau";"42. Spandauer Weihnachtsmarkt";"Spandauer Altstadt";"13597 Berlin";"Partner für Spandau Gesellschaft für Bezirksmarketing mbH
Ansprechpartner: Herr Dettmann
Tel.: 36 75 72 61, Fax: 35 30 23 32";"2015-11-25";"2015-12-23";"täglich ab 11:00";"mailto:info@partner-fuer-spandau.de";"www.spandauer-weihnachtsmarkt.de";"";"52,537052";"13,204966"
"98";"Spandau";"45. Spandauer Weihnachtstraum - Kleiner Weihnachtsmarkt";"auf dem Rathausvorplatz";"13597 Berlin";"Wollenschlaeger, Thilo-Harry
Tel.: 0163/400 05 00 und 03322/428 82 45
Fax: 03322/423 41 39";"2015-11-25";"2015-12-27";"Mo-Do 11:00-21:00
Fr 11:00-22:00,
Sa 10:00-22:00,
So 11:00-21:00";"mailto:info@wollenschlaeger-berlin.de";"www.wollenschlaeger-berlin.de";"geschlossen am 24.12.15";"52,535232";"13,200732"
"100";"Spandau";"Weihnachtsmarkt im Evangelischen Johannesstift";"Schönwalder Allee 26";"13587 Berlin";"Evangelisches Johannesstift
Tel.: 33 60 90, Fax: 33 60 95 06";"2015-11-29";"2015-11-29";"12:00-18:00";"mailto:info@Evangelisches-Johannesstift.de";"www.evangelisches-johannesstift.de";"";"52,567834";"13,191662"
"102";"Spandau";"Sozialer Weihnachtsmarkt von Goldnetz";"Földerichplatz";"13595 Berlin";"Goldnetz gGmbH
Tel.: 28 88 37 77, Fax: 28 88 37 35";"2015-12-05";"2015-12-05";"14:00-18:00";"";"www.goldnetz-berlin.de";"";"52,520905";"13,193291"
"104";"Spandau";"28. Kladower Christkindlmarkt";"Imchenplatz";"14089 Berlin";"Cladower Dorf Union e. V., Tel. und Fax: 331 23 22
Tel. und Fax: 331 23 22";"2015-12-05";"2015-12-06";"12:00-19:00";"";"www.kladower-christkindlmarkt.de";"";"52,452567";"13,148174"
"106";"Steglitz-Zehlendorf";"19. Markt der Kontinente 2015 in den Museen Dahlem (letztmalig)";"Museen Dahlem, Lansstr. 8";"14195 Berlin";"Verein der Freunde des Ethnologischen Museums e. V. in Zusammenarbeit mit den Staatlichen Museen zu Berlin
Tel.: 830 14 38
www.smb.museum.de";"2015-11-21";"2015-12-13";"11:00-19:00";"www.smb.museum.de";"www.marktderkontinente.de";"NUR an den Wochenenden";"52,457319";"13,29302"
"108";"Steglitz-Zehlendorf";"Advent in der Königlichen Gartenakademie";"Altensteinstr. 15a";"14195 Berlin";"Königliche Gartenakademie, Tel.: 83 22 09 00, Fax: 832 20 90 10";"2015-11-20";"2015-12-23";"Di-Sa 11:00-17:30
So 11:00-17:00";"mailto:info@koenigliche-gartenakademie.de";"www.koenigliche-gartenakademie.de";"Mo. geschlossen";"52,455766";"13,300563"
"110";"Steglitz-Zehlendorf";"5. Zehlendorfer Weihnachtsmarkt auf der Dorfaue";"Teltower Damm, am Rathaus Zehlendorf";"14163 Berlin";"BA Steglitz-Zehlendorf, Büro des Bezirksbürgermeisters
www.steglitz-zehlendorf.de
Durchführung: Schausteller- und Gastronomiebetriebe Laurence Blume
Tel.: 0151/24 11 78 50,
Fax: 815 20 85
lb@blume-events.de";"2015-11-23";"2015-12-30";"So-Do 11:00-21:00
Fr-Sa 11:00-22:00
24.12.: 11:00-16:00
25.12./26.12.: 13:00-20:00
";"mailto:laurenceblume@web.de";"www.blume-events.de";"";"52,43353";"13,259371"
"112";"Steglitz-Zehlendorf";"Steglitzer Weihnachtsmarkt vor dem Forum Steglitz";"Schloßstr. 1";"12163 Berlin";"Schausteller- und Gastronomiebetriebe Laurence Blume
Tel.: 0151/24 11 78 50,
Fax: 815 20 85
lb@blume-events.de";"2015-11-23";"2016-01-06";"täglich 10:30-21:00
So 10:30-20:00
24.12.: 10:30-16:00
25./26.12.: 10:30-20:00";"mailto:laurenceblume@web.de";"www.blume-events.de";"";"52,46422";"13,3272"
"114";"Steglitz-Zehlendorf";"Adventsmarkt auf der Domäne Dahlem";"Königin-Luise-Str. 49";"14195 Berlin";"Domäne Dahlem Veranstaltungsgesellschaft mbH
Tel.: 66 63 00 10,
Fax: 66 63 00 20";"2015-11-28";"2015-12-20";"11:00-19:00";"mailto:kontakt@domaene-dahlem.de";"www.domaene-dahlem.de";"NUR an den Adventswochenenden";"52,45842";"13,28866"
